8.46292	0.243462	-3.03151	-0.087211	8.46292	0.243462	8.6	0.25	-3.00029	0
8.3994	0.250105	-3.01856	-0.0824165	8.44818	0.251553	8.45	0.25	-3.00027	0
8.40951	0.278277	-1.32345	0.513223	8.56759	0.241943	8.45	0.25	0	0
8.38177	0.254337	-1.28804	0.0322322	8.45582	0.253997	8.45	0.25	0	0
8.30878	0.253129	-1.54097	-0.000929184	8.42544	0.254042	8.35	0.25	-1.81979	0
8.22794	0.249527	-1.53644	-0.0215155	8.23962	0.24916	8.25	0.25	-1.81978	0
8.02774	0.243183	-2.54412	-0.0620675	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.88972	0.185695	-2.55404	-0.287612	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.71639	0.175064	-2.84417	-0.273652	7.61269	0.155818	7.7	0.15	-2.99982	0
7.56808	0.160708	-2.85379	-0.275638	7.54016	0.159641	7.55	0.15	-2.99982	0
7.46654	0.142644	-2.4445	-0.281698	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.33453	0.0770865	-2.43924	-0.42438	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.18288	0.0556325	-2.58719	-0.419136	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.04326	-0.00994274	-2.58268	-0.528638	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.93476	-0.0455538	-2.22138	-0.549349	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.81885	-0.160218	-2.2117	-0.755905	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.71389	-0.200262	-2.14882	-0.763685	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.61122	-0.334162	-2.14518	-0.994191	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.57822	-0.404495	-1.62636	-1.07263	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.50465	-0.536066	-1.61804	-1.25979	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.4741	-0.628079	-1.16151	-1.35473	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.41058	-0.844389	-1.17725	-1.69698	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.33637	-0.931271	-1.29702	-1.66311	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.25573	-1.11525	-1.33104	-1.88731	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.34066	-1.30649	-0.220604	-2.28079	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.32436	-1.52056	-0.246819	-2.49513	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.28913	-1.6263	-0.466875	-2.39507	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.25059	-1.82596	-0.517806	-2.58795	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.29887	-2.01317	0.0261045	-2.87134	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.30314	-2.18392	0.0244466	-2.93573	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.29995	-2.33948	-0.0378361	-2.89834	6.32593	-2.40018	6.35	-2.4	0	-2.72613
6.30369	-2.51446	-0.0299566	-2.93454	6.34927	-2.55175	6.35	-2.55	0	-2.72611
6.34526	-2.7112	0.265212	-3.11699	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
6.37844	-2.86133	0.310765	-3.06522	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
6.39214	-3.01006	0.259535	-3.02877	6.46536	-3.00452	6.45	-3	0	-2.99754
6.41383	-3.15399	0.280144	-3.00991	6.44119	-3.14955	6.45	-3.15	0	-2.99754
6.4586	-3.34516	0.48663	-3.15385	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
6.50473	-3.49095	0.535956	-3.08774	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
6.56734	-3.69199	0.790539	-3.2742	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
6.65775	-3.81543	0.907425	-3.13709	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
6.70741	-3.98456	0.858711	-3.09746	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
6.79046	-4.11012	0.948208	-2.98883	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
6.83488	-4.26751	0.895807	-2.9486	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
6.90816	-4.39403	0.957274	-2.86304	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
